Файл,Тип,План,Палитра,Оценка,Флаги
S01_SH04_Crew_Commander.jpg,image,средний план,монохромная документальная,0.81,низкий cinematic grade
S01_SH05_Crew_Working.jpg,image,средний план,монохромная документальная,0.81,низкий cinematic grade
S01_SH06_Deck_Detail.jpg,image,крупный план,монохромная документальная,0.81,низкий cinematic grade
franklin_video_01.mp4,video,универсальный план,не определена,0.817,низкий cinematic grade
franklin_video_02.mp4,video,универсальный план,не определена,0.817,низкий cinematic grade
franklin_video_03.mp4,video,универсальный план,не определена,0.817,низкий cinematic grade
S01_SH02_Erebus_Terror_Master.jpg,image,общий план,холодная синяя,0.947,низкий cinematic grade
S01_SH01_Arctic_Aerial_Master.jpg,image,общий план,холодная синяя,0.96,низкий cinematic grade
