Файл,Тип плана,Палитра,Стиль,Профиль JSON
S01_SH01_Arctic_Aerial_Master.jpg,общий план,холодная синяя,0.96,"{""asset_id"": ""3d326143f59fb6fd"", ""filename"": ""S01_SH01_Arctic_Aerial_Master.jpg"", ""media_type"": ""image"", ""width"": 1344, ""height"": 768, ""visual_plan"": ""общий план"", ""palette"": ""холодная синяя"", ""camera_suggestion"": ""ken burns / slow push-in"", ""style_consistency"": 0.96, ""historical_risk"": ""низкий"", ""cv_metrics"": {""width"": 1344, ""height"": 768, ""avg_rgb"": [65.5, 137.6, 178.3], ""brightness"": 120.68, ""contrast"": 39.68, ""saturation"": 112.8, ""sharpness_proxy"": 10.94, ""ahash"": ""1111110011111100111111001111110000111100000110000001100000011000"", ""dominant_palette"": ""холодная синяя"", ""cv_engine"": ""local_pillow_metrics""}, ""risks"": [], ""notes"": ""Локальный анализ RC1 Alpha 0.9: размер, палитра, яркость, контраст, ahash, схожесть.""}"
S01_SH02_Erebus_Terror_Master.jpg,общий план,холодная синяя,0.947,"{""asset_id"": ""e643ed2be36718f7"", ""filename"": ""S01_SH02_Erebus_Terror_Master.jpg"", ""media_type"": ""image"", ""width"": 1344, ""height"": 768, ""visual_plan"": ""общий план"", ""palette"": ""холодная синяя"", ""camera_suggestion"": ""ken burns / slow push-in"", ""style_consistency"": 0.947, ""historical_risk"": ""низкий"", ""cv_metrics"": {""width"": 1344, ""height"": 768, ""avg_rgb"": [85.1, 126.0, 147.2], ""brightness"": 116.14, ""contrast"": 43.37, ""saturation"": 62.05, ""sharpness_proxy"": 16.11, ""ahash"": ""1111111111111111111100111111001000010000011000000000000000100000"", ""dominant_palette"": ""холодная синяя"", ""cv_engine"": ""local_pillow_metrics""}, ""risks"": [], ""notes"": ""Локальный анализ RC1 Alpha 0.9: размер, палитра, яркость, контраст, ahash, схожесть.""}"
franklin_video_01.mp4,универсальный план,не определена,0.817,"{""asset_id"": ""25de62c76749b7d7"", ""filename"": ""franklin_video_01.mp4"", ""media_type"": ""video"", ""width"": null, ""height"": null, ""visual_plan"": ""универсальный план"", ""palette"": ""не определена"", ""camera_suggestion"": ""нативное движение видео"", ""style_consistency"": 0.817, ""historical_risk"": ""низкий"", ""cv_metrics"": {}, ""risks"": [], ""notes"": ""Локальный анализ RC1 Alpha 0.9: размер, палитра, яркость, контраст, ahash, схожесть.""}"
franklin_video_02.mp4,универсальный план,не определена,0.817,"{""asset_id"": ""f453e05d61667c5a"", ""filename"": ""franklin_video_02.mp4"", ""media_type"": ""video"", ""width"": null, ""height"": null, ""visual_plan"": ""универсальный план"", ""palette"": ""не определена"", ""camera_suggestion"": ""нативное движение видео"", ""style_consistency"": 0.817, ""historical_risk"": ""низкий"", ""cv_metrics"": {}, ""risks"": [], ""notes"": ""Локальный анализ RC1 Alpha 0.9: размер, палитра, яркость, контраст, ahash, схожесть.""}"
franklin_video_03.mp4,универсальный план,не определена,0.817,"{""asset_id"": ""871af5f461107e88"", ""filename"": ""franklin_video_03.mp4"", ""media_type"": ""video"", ""width"": null, ""height"": null, ""visual_plan"": ""универсальный план"", ""palette"": ""не определена"", ""camera_suggestion"": ""нативное движение видео"", ""style_consistency"": 0.817, ""historical_risk"": ""низкий"", ""cv_metrics"": {}, ""risks"": [], ""notes"": ""Локальный анализ RC1 Alpha 0.9: размер, палитра, яркость, контраст, ahash, схожесть.""}"
S01_SH04_Crew_Commander.jpg,средний план,монохромная документальная,0.81,"{""asset_id"": ""f5119851eefe452f"", ""filename"": ""S01_SH04_Crew_Commander.jpg"", ""media_type"": ""image"", ""width"": 1344, ""height"": 768, ""visual_plan"": ""средний план"", ""palette"": ""монохромная документальная"", ""camera_suggestion"": ""ken burns / slow push-in"", ""style_consistency"": 0.81, ""historical_risk"": ""низкий"", ""cv_metrics"": {""width"": 1344, ""height"": 768, ""avg_rgb"": [61.4, 61.8, 61.5], ""brightness"": 61.62, ""contrast"": 61.55, ""saturation"": 8.29, ""sharpness_proxy"": 26.34, ""ahash"": ""0011011111111111011110111111111110000000000000000000000000000000"", ""dominant_palette"": ""монохромная документальная"", ""cv_engine"": ""local_pillow_metrics""}, ""risks"": [], ""notes"": ""Локальный анализ RC1 Alpha 0.9: размер, палитра, яркость, контраст, ahash, схожесть.""}"
S01_SH05_Crew_Working.jpg,средний план,монохромная документальная,0.81,"{""asset_id"": ""d9b0998880e3d2f6"", ""filename"": ""S01_SH05_Crew_Working.jpg"", ""media_type"": ""image"", ""width"": 1344, ""height"": 768, ""visual_plan"": ""средний план"", ""palette"": ""монохромная документальная"", ""camera_suggestion"": ""ken burns / slow push-in"", ""style_consistency"": 0.81, ""historical_risk"": ""низкий"", ""cv_metrics"": {""width"": 1344, ""height"": 768, ""avg_rgb"": [82.5, 83.9, 80.5], ""brightness"": 83.1, ""contrast"": 61.27, ""saturation"": 11.79, ""sharpness_proxy"": 20.53, ""ahash"": ""1111111111111111100011110000011100000001000000000000000000000000"", ""dominant_palette"": ""монохромная документальная"", ""cv_engine"": ""local_pillow_metrics""}, ""risks"": [], ""notes"": ""Локальный анализ RC1 Alpha 0.9: размер, палитра, яркость, контраст, ahash, схожесть.""}"
S01_SH06_Deck_Detail.jpg,крупный план,монохромная документальная,0.81,"{""asset_id"": ""ff13580079cf165a"", ""filename"": ""S01_SH06_Deck_Detail.jpg"", ""media_type"": ""image"", ""width"": 1344, ""height"": 768, ""visual_plan"": ""крупный план"", ""palette"": ""монохромная документальная"", ""camera_suggestion"": ""ken burns / slow push-in"", ""style_consistency"": 0.81, ""historical_risk"": ""низкий"", ""cv_metrics"": {""width"": 1344, ""height"": 768, ""avg_rgb"": [74.0, 78.9, 78.1], ""brightness"": 77.35, ""contrast"": 61.77, ""saturation"": 13.57, ""sharpness_proxy"": 21.83, ""ahash"": ""0111111111111111111111110100000101000000000000000000000000000000"", ""dominant_palette"": ""монохромная документальная"", ""cv_engine"": ""local_pillow_metrics""}, ""risks"": [], ""notes"": ""Локальный анализ RC1 Alpha 0.9: размер, палитра, яркость, контраст, ahash, схожесть.""}"
